"year","state","total_deforestation"
2004,Acre,2912
2004,Amapa,184
2004,Amazonas,4928
2004,Maranhao,3020
2004,Mato Grosso,47256
2004,Para,35480
2004,Rondonia,15432
2004,Roraima,1244
2004,Tocantins,632
2005,Acre,2368
2005,Amapa,132
2005,Amazonas,3100
2005,Maranhao,3688
2005,Mato Grosso,28580
2005,Para,23596
2005,Rondonia,12976
2005,Roraima,532
2005,Tocantins,1084
2006,Acre,1592
2006,Amapa,120
2006,Amazonas,3152
2006,Maranhao,2696
2006,Mato Grosso,17332
2006,Para,22636
2006,Rondonia,8196
2006,Roraima,924
2006,Tocantins,496
2007,Acre,736
2007,Amapa,156
2007,Amazonas,2440
2007,Maranhao,2524
2007,Mato Grosso,10712
2007,Para,22104
2007,Rondonia,6444
2007,Roraima,1236
2007,Tocantins,252
2008,Acre,1016
2008,Amapa,400
2008,Amazonas,2416
2008,Maranhao,5084
2008,Mato Grosso,13032
2008,Para,22428
2008,Rondonia,4544
2008,Roraima,2296
2008,Tocantins,428
2009,Acre,668
2009,Amapa,280
2009,Amazonas,1620
2009,Maranhao,3312
2009,Mato Grosso,4196
2009,Para,17124
2009,Rondonia,1928
2009,Roraima,484
2009,Tocantins,244
2010,Acre,1036
2010,Amapa,212
2010,Amazonas,2380
2010,Maranhao,2848
2010,Mato Grosso,3484
2010,Para,15080
2010,Rondonia,1740
2010,Roraima,1024
2010,Tocantins,196
2011,Acre,1120
2011,Amapa,264
2011,Amazonas,2008
2011,Maranhao,1584
2011,Mato Grosso,4480
2011,Para,12032
2011,Rondonia,3460
2011,Roraima,564
2011,Tocantins,160
2012,Acre,1220
2012,Amapa,108
2012,Amazonas,2092
2012,Maranhao,1076
2012,Mato Grosso,3028
2012,Para,6964
2012,Rondonia,3092
2012,Roraima,496
2012,Tocantins,208
2013,Acre,884
2013,Amapa,92
2013,Amazonas,2332
2013,Maranhao,1612
2013,Mato Grosso,4556
2013,Para,9384
2013,Rondonia,3728
2013,Roraima,680
2013,Tocantins,296
2014,Acre,1236
2014,Amapa,124
2014,Amazonas,2000
2014,Maranhao,1028
2014,Mato Grosso,4300
2014,Para,7548
2014,Rondonia,2736
2014,Roraima,876
2014,Tocantins,200
2015,Acre,1056
2015,Amapa,100
2015,Amazonas,2848
2015,Maranhao,836
2015,Mato Grosso,6404
2015,Para,8612
2015,Rondonia,4120
2015,Roraima,624
2015,Tocantins,228
2016,Acre,1488
2016,Amapa,68
2016,Amazonas,4516
2016,Maranhao,1032
2016,Mato Grosso,5956
2016,Para,11968
2016,Rondonia,5504
2016,Roraima,808
2016,Tocantins,232
2017,Acre,1028
2017,Amapa,96
2017,Amazonas,4004
2017,Maranhao,1060
2017,Mato Grosso,6244
2017,Para,9732
2017,Rondonia,4972
2017,Roraima,528
2017,Tocantins,124
2018,Acre,1776
2018,Amapa,96
2018,Amazonas,4180
2018,Maranhao,1012
2018,Mato Grosso,5960
2018,Para,10976
2018,Rondonia,5264
2018,Roraima,780
2018,Tocantins,100
2019,Acre,2752
2019,Amapa,32
2019,Amazonas,5684
2019,Maranhao,860
2019,Mato Grosso,6740
2019,Para,15448
2019,Rondonia,4980
2019,Roraima,2468
2019,Tocantins,84
